index,tempo,duration_m,time_signature,energy,n_unique_chords,n_difficult_chords,chord_per_min
264,72.58,7.1222166666666675,4.0,0.447,7,0,0.9828400802184711
265,129.242,3.43445,4.0,0.357,13,8,3.7851766658416923
266,191.702,3.911783333333333,4.0,0.704,3,0,0.7669136412633625
267,169.252,3.2995500000000004,4.0,0.721,7,1,2.1215014168598745
268,86.013,3.79045,4.0,0.812,5,0,1.3191045918030841
269,132.68,6.366650000000001,4.0,0.673,9,3,1.4136162660111673
270,103.342,4.2124500000000005,4.0,0.352,5,5,1.186957708696839
271,127.167,6.371616666666667,4.0,0.366,11,6,1.7264064326949988
272,148.005,6.228183333333333,4.0,0.61,4,1,0.6422418522255019
273,81.879,3.1742166666666667,4.0,0.412,14,10,4.410536982877665
274,76.963,3.9735500000000004,4.0,0.381,9,5,2.2649771614802883
275,129.716,3.963783333333333,4.0,0.551,47,35,11.857358500086198
276,103.014,3.8817833333333334,4.0,0.799,4,0,1.0304542156311318
277,118.867,3.6733333333333333,4.0,0.142,4,0,1.0889292196007259
278,110.962,3.9648833333333333,4.0,0.673,4,3,1.008856923070456
279,151.635,6.412450000000001,3.0,0.548,18,13,2.807039431106675
280,131.353,3.111883333333333,3.0,0.34,20,12,6.426976161274256
281,100.035,3.34645,4.0,0.748,4,0,1.1952965082400753
282,159.803,3.4728833333333333,4.0,0.869,6,3,1.7276710514318074
283,99.7,3.36,4.0,0.618,5,1,1.4880952380952381
284,124.053,4.006666666666667,4.0,0.807,4,0,0.9983361064891847
285,100.965,5.693783333333333,4.0,0.661,30,15,5.268904389875508
286,169.492,3.502666666666667,4.0,0.768,6,2,1.7129805862200227
287,143.888,4.3853333333333335,4.0,0.836,6,2,1.3681970203709333
288,103.971,3.8755499999999996,4.0,0.291,4,0,1.0321115712608535
289,119.952,4.602666666666667,4.0,0.68,13,12,2.824449594438007
290,113.986,3.9342166666666665,4.0,0.416,6,0,1.5250812317572748
292,70.216,5.590450000000001,3.0,0.172,36,33,6.439553166560831
293,131.808,3.7045666666666666,4.0,0.266,7,3,1.8895597325823084
294,82.768,3.5264499999999996,4.0,0.398,17,15,4.82071204752655
295,93.099,2.3666666666666667,4.0,0.471,4,0,1.6901408450704225
296,122.874,5.258966666666667,3.0,0.524,15,7,2.8522713587586916
297,88.964,3.4879000000000002,4.0,0.479,8,1,2.2936437397861176
298,109.891,3.036016666666667,4.0,0.405,4,0,1.3175158239140101
299,123.979,12.209233333333334,4.0,0.18,4,0,0.3276208989371432
300,140.015,8.57775,4.0,0.562,7,3,0.8160648188627554
301,128.054,3.284666666666667,4.0,0.525,9,2,2.740004059265273
302,103.621,2.7292666666666667,4.0,0.367,6,1,2.1983927306480373
303,140.101,5.567783333333334,4.0,0.802,6,0,1.0776281404628412
304,107.984,3.612216666666667,4.0,0.955,16,11,4.429413148897491
305,70.306,3.2337833333333332,4.0,0.207,17,12,5.257000314389234
306,70.808,3.4066666666666667,4.0,0.0779,5,3,1.467710371819961
307,108.527,3.728216666666667,4.0,0.625,5,3,1.3411237723129465
308,70.645,4.337116666666666,4.0,0.115,17,15,3.9196547629569576
309,116.06,3.6522666666666668,4.0,0.37,3,0,0.8214077102803738
310,143.052,4.956,3.0,0.435,34,18,6.860371267150928
311,117.051,4.166883333333334,4.0,0.723,12,5,2.8798502477871146
312,125.391,5.842883333333333,4.0,0.668,12,6,2.0537805250261716
313,148.096,4.972883333333333,4.0,0.66,3,0,0.6032717437569753
314,92.467,6.87,4.0,0.198,4,2,0.5822416302765647
315,146.484,7.331333333333333,4.0,0.407,15,11,2.0460125488769663
316,125.319,3.658933333333333,4.0,0.19,7,0,1.9131258654617012
317,108.038,3.7508833333333333,3.0,0.53,6,1,1.5996231998684753
318,167.751,0.9073333333333333,3.0,0.0279,9,5,9.919177075679647
319,171.232,3.4054333333333333,3.0,0.235,4,0,1.1745935416931765
320,86.644,5.018883333333333,4.0,0.493,3,1,0.5977425257278346
321,120.151,4.296666666666667,4.0,0.492,4,0,0.9309542280837858
322,85.6,3.5322166666666663,4.0,0.153,7,2,1.9817583859049797
323,103.951,4.946666666666667,4.0,0.292,4,1,0.8086253369272236
324,89.154,3.15845,4.0,0.193,10,4,3.166109958998876
325,121.348,3.11955,4.0,0.653,3,0,0.9616771649757178
326,106.156,3.55995,4.0,0.676,5,0,1.4045141083442183
327,141.317,3.3691166666666663,4.0,0.244,8,4,2.374509639025066
328,135.753,4.733333333333333,3.0,0.194,2,0,0.4225352112676056
329,96.556,3.9257833333333334,4.0,0.898,7,1,1.783083630867725
330,123.821,3.3873333333333333,4.0,0.764,17,12,5.018697106868727
331,127.975,3.993333333333333,4.0,0.71,3,0,0.7512520868113522
332,101.593,3.954133333333333,4.0,0.499,3,0,0.7586997572160777
333,96.002,3.5013333333333336,4.0,0.416,3,1,0.8568164508758568
334,115.94,3.5681333333333334,3.0,0.439,6,1,1.6815515115279698
335,118.001,2.3938333333333333,3.0,0.242,11,3,4.595140291025552
336,95.23,5.413333333333333,4.0,0.526,3,3,0.5541871921182266
337,84.094,2.8787333333333334,4.0,0.42,6,2,2.08425001736875
338,161.858,3.93845,4.0,0.327,3,0,0.7617209816044382
339,105.929,3.787783333333333,4.0,0.598,7,4,1.8480465707735836
340,87.004,3.3161,4.0,0.658,3,0,0.9046771810259039
341,178.519,5.484166666666667,4.0,0.528,8,2,1.4587448716000608
342,114.044,3.3175666666666666,4.0,0.765,9,2,2.712831693912205
343,144.635,8.009333333333334,4.0,0.583,8,1,0.9988346928583318
344,107.989,4.316450000000001,4.0,0.379,3,0,0.6950155799325834
345,103.929,6.724216666666666,4.0,0.605,7,0,1.041013451380954
346,111.881,3.5851166666666665,4.0,0.575,7,4,1.9525166545021782
347,88.434,3.8097833333333333,4.0,0.321,3,0,0.7874463552170509
348,164.848,3.57045,4.0,0.531,3,0,0.8402302230811242
349,150.073,2.822566666666667,4.0,0.557,3,0,1.06286240655668
350,153.068,4.077983333333333,4.0,0.786,4,0,0.9808769857650228
351,104.938,4.086666666666667,4.0,0.357,13,10,3.1810766721044046
352,128.128,3.976,4.0,0.179,3,0,0.7545271629778673
353,79.109,4.666666666666667,4.0,0.336,12,2,2.571428571428571
354,98.957,4.56445,4.0,0.514,3,0,0.6572533382992475
355,140.006,2.14285,4.0,0.384,4,4,1.8666728889096296
356,91.573,4.588666666666667,4.0,0.531,7,7,1.5254976027894813
357,104.95,3.4566666666666666,4.0,0.159,3,0,0.8678881388621023
358,124.558,3.81555,4.0,0.536,4,1,1.0483416545452162
359,121.876,4.02245,4.0,0.346,4,0,0.9944188243483449
360,161.794,4.792199999999999,4.0,0.798,6,4,1.25203455615375
361,129.978,3.6307666666666667,4.0,0.653,3,0,0.8262717699659392
362,144.004,8.589783333333333,4.0,0.608,5,3,0.5820868590011001
363,98.049,4.00715,4.0,0.688,18,8,4.491970602547945
364,82.228,3.75,4.0,0.542,3,0,0.8
365,130.013,3.021066666666667,4.0,0.782,8,1,2.6480713213875893
366,75.16,4.313916666666667,4.0,0.22,5,1,1.1590395425657272
367,121.14,3.9322166666666667,4.0,0.363,67,56,17.038735573234774
368,102.211,2.7097166666666666,4.0,0.733,12,5,4.428507285509555
369,149.875,3.2901833333333332,3.0,0.561,4,1,1.2157377248481596
370,114.243,5.702883333333333,4.0,0.586,6,0,1.0520993766311193
371,97.798,4.73,4.0,0.605,3,0,0.6342494714587738
372,142.171,6.478883333333333,3.0,0.364,6,1,0.9260855137073518
373,100.015,3.5715,4.0,0.792,2,0,0.5599888002239956
374,130.082,4.622116666666667,4.0,0.323,8,2,1.730808756449967
375,78.46,2.9631166666666666,4.0,0.132,13,7,4.387272410243718
376,177.928,3.822666666666667,4.0,0.797,3,0,0.7847924659923264
377,113.038,3.014883333333333,4.0,0.488,20,7,6.633755866727845
378,63.05,3.3928833333333333,4.0,0.127,6,1,1.768407401767425
379,112.05,2.94245,4.0,0.774,4,4,1.3594113748746792
380,91.509,4.058216666666667,3.0,0.085,9,5,2.2177228914178233
381,130.208,5.191333333333334,4.0,0.404,14,14,2.6968023629125466
382,121.822,4.037333333333334,4.0,0.868,6,5,1.486129458388375
383,74.953,3.295533333333333,4.0,0.327,6,2,1.8206461270810999
384,120.006,4.090433333333333,4.0,0.225,3,1,0.7334186272033117
385,144.926,3.8353333333333333,4.0,0.832,2,0,0.5214670606640014
386,119.287,2.16955,4.0,0.467,6,1,2.765550459772764
387,129.847,7.168883333333333,4.0,0.505,27,18,3.766276942248096
388,138.134,2.7266666666666666,4.0,0.583,7,3,2.567237163814181
389,147.997,2.3615500000000003,4.0,0.829,2,0,0.8469013995045626
390,185.044,2.814,4.0,0.444,3,0,1.0660980810234542
391,176.119,3.781766666666667,4.0,0.677,4,0,1.0577067155562214
392,108.736,4.7522166666666665,4.0,0.682,8,2,1.6834249280160487
393,112.96,3.63355,4.0,0.936,5,0,1.3760647300849032
394,122.803,3.7117833333333334,4.0,0.96,5,0,1.3470613855873412
395,130.547,4.456,4.0,0.723,11,3,2.468581687612208
396,136.002,3.56845,4.0,0.674,7,4,1.9616360044276928
397,99.048,3.4522166666666667,4.0,0.771,3,1,0.8690068699820888
398,119.949,3.314216666666667,4.0,0.443,3,0,0.9051912719446022
399,134.896,3.5780000000000003,4.0,0.117,7,5,1.9564002235885969
400,149.908,3.41245,4.0,0.741,7,2,2.0513121071371008
401,76.548,2.712,4.0,0.326,11,9,4.056047197640118
402,139.647,5.417083333333333,4.0,0.352,5,2,0.9230059226213368
403,87.502,4.6255500000000005,4.0,0.0739,25,13,5.404762676870858
404,167.624,3.2760000000000002,4.0,0.508,30,10,9.157509157509157
405,160.032,3.2317166666666663,4.0,0.564,17,17,5.260362139832804
