index,Artist,Chords,Label,Song
164,roy-orbison,"A,C#7,G,F#m,E,C#m,D,A/E",intermediate,you-got-it
165,tenacious-d,"A5,G,C,F,Am,E,D",novice,tribute
166,sublime,"A,B,E,C#m,G#",intermediate,santeria
167,cece-winans,"C2/G,Dmaj7,Cm,A2,F,Em7,G2,Gaug,F#m7,Asus7,E7,B7,C#m7,G,Bsus7,G/D,Cm6/G,Bm7,Am7,F6,Dm6/E,Bbmaj9,G2/B,Cmaj7,D/F#,C#dim,E/B,A/E,F13,D#dim7,Dsus7,D/E,A,Esus7,F#7,C/G,E/G#,D7,C/D,F#/A#,Dm/E,Aaug,D/A,A7,F#sus7",advanced,alabaster-box
168,bob-dylan,"Cadd4,Dm,G,C,F,E7",intermediate,its-all-over-now-baby-blue
169,amy-winehouse,"Am7,F#9,Abm7,F#7,C#7,Ebm7,C#m7,Cm7,Ebmaj7,Bb7sus4,Cm7b5,Dbm7,Bb7#5,F#m7,Ab9,B7b5,Emaj7",advanced,what-it-is
170,taylor-swift,"D6,G,D7,C,Cmaj7,Em7,Em,D",intermediate,illicit-affairs
171,tate-mcrae,"A,E,C#m,B",novice,you-broke-me-first
172,stealers-wheel,"D5,D6,A,D7sus2,D7,G,Am7add11,G7,C,D",intermediate,stuck-in-the-middle-with-you
173,taylor-swift,"A,G,Em,D,Bm",novice,cardigan
174,the-beatles,"A,F7,Bb,Dm,D7,G,C,G7,Gm,F,C7,Em,D,A7,Bm",intermediate,hey-jude
175,the-police,"A,B,G,C,F,E,Eb,Em,C#m,D,A7,F#",intermediate,every-breath-you-take
176,harry-styles,"Am7,G,C,Dm7",novice,watermelon-sugar
177,zoe-wees,"A,E,C#m,B",novice,control
178,jeremy-zucker,"Am7,G/B,Am7/G,G,Cmaj7,Fmaj7,F",novice,comethru
179,ronan-keating,"B,Asus2,G,Cadd9,E,Em,D",novice,when-you-say-nothing-at-all
180,bob-dylan,"G,F,Bb,C",advanced,ill-be-your-baby-tonight
181,sufjan-stevens,"G/A,G/B,G,C,Em/B,G/D,Am,D/A,Em,D,Bm",novice,mystery-of-love
182,the-beatles,"A,G,D7,C,Am,E,F,D,E7,Bm,F#",intermediate,revolution
183,elvis-presley,"Bb,G,D7,C,Em7,Am,Em,D,Bm",advanced,unchained-melody
184,elton-john,"A,Gmaj7,G,G6,Dsus4,F#m,G/D,Bm/A,D/A,D/F#,Em,A/D,D,Asus4,Bm/G#,Bm,A/C#,F#",intermediate,your-song
185,jojo,"Am7,Abm,Bb,Ebm,Dm7,C,Gm,Cm,Gb,F,Am,Bbm,Db",advanced,weak
186,the-beatles,"A(maj7),F,F#m7,C#m/G#,G/A,Am(maj7),G,G/D,C7,D,Am7,F/E,C,Cmaj7,Eb,D9,A/E,A,D7,Am,G7/B",intermediate,something
187,daft-punk,"D,Am,Em,C",novice,get-lucky
188,green-day,"G,C,Am,Em,D",novice,when-i-come-around
