index,tempo,duration_m,time_signature,energy,n_unique_chords,n_difficult_chords,chord_per_min
356,97.427,3.31885,3.0,0.179,10,3,25.309971827590882
357,76.039,4.392666666666667,4.0,0.709,14,4,38.24556078312339
358,85.301,5.6546666666666665,4.0,0.667,15,15,30.59419948125442
359,130.97,3.1755666666666666,4.0,0.647,5,0,60.14674546275206
360,139.191,3.5263,4.0,0.67,8,3,26.089669058219663
361,71.772,3.35475,4.0,0.0279,4,0,14.009985840971757
362,95.969,3.7431,4.0,0.465,7,1,28.853089685020436
363,96.204,5.6015500000000005,4.0,0.679,10,2,39.631887602538576
364,122.377,3.1057833333333336,3.0,0.911,9,3,52.160753862417955
365,122.035,4.3755500000000005,4.0,0.743,4,0,33.13869113597148
366,75.801,3.4781166666666667,4.0,0.473,20,16,22.713441661435546
367,109.008,3.60645,4.0,0.628,6,1,24.123445493490827
368,141.922,2.1577333333333333,4.0,0.399,2,1,16.68417475128221
369,84.012,4.232666666666667,4.0,0.532,22,21,36.85619782642936
370,136.302,4.533333333333333,4.0,0.554,6,1,21.83823529411765
371,85.275,4.87235,4.0,0.184,10,9,32.01740433261158
372,131.362,2.6020833333333333,5.0,0.00244,32,27,59.9519615692554
373,115.056,1.3487833333333334,4.0,0.886,8,0,25.949312343222903
374,108.008,4.318,4.0,0.79,5,0,18.52709587772117
375,119.958,5.993849999999999,4.0,0.702,6,2,17.35111822951859
376,133.017,4.059333333333333,4.0,0.924,14,3,55.18147479060602
377,144.064,4.700666666666667,4.0,0.259,10,4,19.146220394270316
378,115.871,7.610666666666666,4.0,0.58,52,51,35.0823405746321
379,99.937,4.424449999999999,4.0,0.807,7,3,10.170755687147556
380,119.961,3.3168,4.0,0.773,11,8,49.44524843222383
381,88.682,3.585783333333333,4.0,0.834,8,0,23.146964633483154
382,85.005,5.133783333333333,4.0,0.168,18,15,20.647540637671376
383,135.558,3.191333333333333,4.0,0.577,8,3,19.114267808648425
384,122.34,3.5048833333333334,4.0,0.791,13,7,29.672884974773293
385,119.513,4.346266666666667,3.0,0.355,14,7,19.326931926250882
386,76.426,3.8186666666666667,4.0,0.393,11,7,24.35405027932961
387,135.782,3.415433333333333,4.0,0.13,13,0,25.179821008559188
388,127.904,3.271333333333333,4.0,0.474,6,1,20.78663134297942
389,77.873,3.3793333333333333,3.0,0.126,32,32,37.877293351745905
390,139.691,3.82445,4.0,0.873,4,1,29.02378119729634
391,140.974,5.070216666666667,4.0,0.57,13,2,18.73687186280665
392,79.37,2.597666666666667,4.0,0.0619,21,15,40.80585140510714
393,166.973,3.2311166666666664,4.0,0.452,23,20,21.35484636374422
394,135.036,2.676,3.0,0.572,5,4,10.46337817638266
395,115.013,4.0522,4.0,0.698,12,5,24.677952717042594
396,129.959,6.079783333333333,1.0,0.387,7,0,11.842527283044626
397,92.965,3.096766666666667,4.0,0.423,14,10,57.15638892177863
398,110.093,3.482966666666667,4.0,0.413,4,1,14.929801223095252
399,177.784,5.056216666666667,4.0,0.338,15,4,21.162067817505182
400,89.815,5.119183333333334,4.0,0.548,22,20,25.003988266357588
401,120.175,2.938216666666667,4.0,0.367,7,1,20.420549880029267
402,133.714,3.466666666666667,4.0,0.221,4,0,25.096153846153847
403,158.415,3.387583333333333,4.0,0.156,4,0,13.874197436717425
404,146.099,4.71155,4.0,0.445,5,1,31.836656726554956
405,155.919,3.83245,4.0,0.66,5,1,36.26922725671567
406,97.106,3.9275499999999997,4.0,0.905,10,1,35.64563150055378
407,108.045,3.0962166666666664,4.0,0.639,10,8,9.689244400424174
408,128.995,5.07845,4.0,0.39,13,13,10.436255156593054
409,75.208,3.49,4.0,0.371,4,0,19.484240687679083
410,102.0,4.324216666666667,4.0,0.663,4,0,23.356831487783914
